"id","codigo","descricao"
"__export__.sped_cnae_197","1065101","FABRICAÇÃO DE AMIDOS E FÉCULAS DE VEGETAIS"
"__export__.sped_cnae_198","1065102","FABRICAÇÃO DE ÓLEO DE MILHO EM BRUTO"
"__export__.sped_cnae_199","1065103","FABRICAÇÃO DE ÓLEO DE MILHO REFINADO"
"__export__.sped_cnae_200","1066000","FABRICAÇÃO DE ALIMENTOS PARA ANIMAIS"
"__export__.sped_cnae_201","1069400","MOAGEM E FABRICAÇÃO DE PRODUTOS DE ORIGEM VEGETAL NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_202","1071600","FABRICAÇÃO DE AÇÚCAR EM BRUTO"
"__export__.sped_cnae_203","1072401","FABRICAÇÃO DE AÇÚCAR DE CANA REFINADO"
"__export__.sped_cnae_204","1072402","FABRICAÇÃO DE AÇÚCAR DE CEREAIS (DEXTROSE) E DE BETERRABA"
"__export__.sped_cnae_205","1081301","BENEFICIAMENTO DE CAFÉ"
"__export__.sped_cnae_206","1081302","TORREFAÇÃO E MOAGEM DE CAFÉ"
"__export__.sped_cnae_207","1082100","FABRICAÇÃO DE PRODUTOS À BASE DE CAFÉ"
"__export__.sped_cnae_208","1091100","FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO"
"__export__.sped_cnae_209","1092900","FABRICAÇÃO DE BISCOITOS E BOLACHAS"
"__export__.sped_cnae_210","1093701","FABRICAÇÃO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES"
"__export__.sped_cnae_211","1093702","FABRICAÇÃO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES"
"__export__.sped_cnae_212","1094500","FABRICAÇÃO DE MASSAS ALIMENTÍCIAS"
"__export__.sped_cnae_213","1095300","FABRICAÇÃO DE ESPECIARIAS, MOLHOS, TEMPEROS E CONDIMENTOS"
"__export__.sped_cnae_214","1096100","FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS"
"__export__.sped_cnae_215","1099601","FABRICAÇÃO DE VINAGRES"
"__export__.sped_cnae_216","1099602","FABRICAÇÃO DE PÓS ALIMENTÍCIOS"
"__export__.sped_cnae_217","1099603","FABRICAÇÃO DE FERMENTOS E LEVEDURAS"
"__export__.sped_cnae_218","1099604","FABRICAÇÃO DE GELO COMUM"
"__export__.sped_cnae_219","1099605","FABRICAÇÃO DE PRODUTOS PARA INFUSÃO (CHÁ, MATE, ETC.)"
"__export__.sped_cnae_220","1099606","FABRICAÇÃO DE ADOÇANTES NATURAIS E ARTIFICIAIS"
"__export__.sped_cnae_221","1099699","FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_222","1111901","FABRICAÇÃO DE AGUARDENTE DE CANA-DE-AÇÚCAR"
"__export__.sped_cnae_223","1111902","FABRICAÇÃO DE OUTRAS AGUARDENTES E BEBIDAS DESTILADAS"
"__export__.sped_cnae_224","1112700","FABRICAÇÃO DE VINHO"
"__export__.sped_cnae_225","1113501","FABRICAÇÃO DE MALTE, INCLUSIVE MALTE UÍSQUE"
"__export__.sped_cnae_226","1113502","FABRICAÇÃO DE CERVEJAS E CHOPES"
"__export__.sped_cnae_227","1121600","FABRICAÇÃO DE ÁGUAS ENVASADAS"
"__export__.sped_cnae_228","1122401","FABRICAÇÃO DE REFRIGERANTES"
"__export__.sped_cnae_229","1122402","FABRICAÇÃO DE CHÁ MATE E OUTROS CHÁS PRONTOS PARA CONSUMO"
"__export__.sped_cnae_230","1122403","FABRICAÇÃO DE REFRESCOS, XAROPES E PÓS PARA REFRESCOS, EXCETO REFRESCOS DE FRUTAS"
