"id","codigo","ocupacao"
"__export__.hr_cbo_16315","784125","Ajudante de enfardamento"
"__export__.hr_cbo_16351","784120","Ajudante de engarrafamento"
"__export__.hr_cbo_16333","784110","Ajudante de ensacador, a máquina"
"__export__.hr_cbo_16773","841440","Ajudante de esterilização (indústria alimentícia)"
"__export__.hr_cbo_15256","724220","Ajudante de estruturas metálicas"
"__export__.hr_cbo_16062","772115","Ajudante de estufador (madeira)"
"__export__.hr_cbo_16418","811430","Ajudante de evaporador na destilação"
"__export__.hr_cbo_16611","823210","Ajudante de extrusão de fibras de vidro"
"__export__.hr_cbo_16648","828110","Ajudante de fábrica de tijolos"
"__export__.hr_cbo_16794","841745","Ajudante de fabricação - na indústria de bebidas"
"__export__.hr_cbo_16680","831125","Ajudante de fabricação de celulose"
"__export__.hr_cbo_13663","521130","Ajudante de farmácia"
"__export__.hr_cbo_15114","722105","Ajudante de ferreiro"
"__export__.hr_cbo_16394","811330","Ajudante de filtrador (filtro-prensa)"
"__export__.hr_cbo_15120","722105","Ajudante de forjador"
"__export__.hr_cbo_16520","821205","Ajudante de forneiro"
"__export__.hr_cbo_15127","722205","Ajudante de fundidor"
"__export__.hr_cbo_15248","724130","Ajudante de gasista"
"__export__.hr_cbo_16180","782205","Ajudante de guincheiro"
"__export__.hr_cbo_15930","766220","Ajudante de impressor de formulários contínuos"
"__export__.hr_cbo_13451","515225","Ajudante de laboratório"
"__export__.hr_cbo_15554","752230","Ajudante de lapidador (vidros)"
"__export__.hr_cbo_13620","519935","Ajudante de lavador de automóvel"
"__export__.hr_cbo_13498","516315","Ajudante de lavador de tapetes"
"__export__.hr_cbo_13495","516315","Ajudante de lavanderia de artefatos da tapeçaria"
"__export__.hr_cbo_15139","722210","Ajudante de lingotamento"
"__export__.hr_cbo_17270","919105","Ajudante de lubrificação (indústria)"
"__export__.hr_cbo_16129","775115","Ajudante de lustrador"
"__export__.hr_cbo_15148","722305","Ajudante de macheiro"
"__export__.hr_cbo_17193","914105","Ajudante de manutenção de aeronave"
"__export__.hr_cbo_16247","782625","Ajudante de maquinista de trem"
"__export__.hr_cbo_14945","717010","Ajudante de marteleteiro"
"__export__.hr_cbo_14695","711130","Ajudante de mineiro"
"__export__.hr_cbo_15865","766125","Ajudante de montagem e fotolito"
"__export__.hr_cbo_19561","783225","Ajudante de motorista"
"__export__.hr_cbo_14952","717020","Ajudante de obras"
"__export__.hr_cbo_16659","828110","Ajudante de oleiro"
"__export__.hr_cbo_16289","783220","Ajudante de operação portuária"
"__export__.hr_cbo_16407","811305","Ajudante de operador de centrífugas"
"__export__.hr_cbo_17076","862405","Ajudante de operador de gás"
"__export__.hr_cbo_16181","782205","Ajudante de operador de guincho"
"__export__.hr_cbo_16105","773340","Ajudante de operador de serra"
"__export__.hr_cbo_13377","513505","Ajudante de padeiro"
"__export__.hr_cbo_16899","848315","Ajudante de pasteleiro"
"__export__.hr_cbo_16554","821445","Ajudante de pátio de sucata"
"__export__.hr_cbo_14923","716610","Ajudante de pintor"
"__export__.hr_cbo_15225","723330","Ajudante de pintor à pistola"
"__export__.hr_cbo_15229","723330","Ajudante de pintor de móveis"
"__export__.hr_cbo_15230","723330","Ajudante de pintor de produção"
"__export__.hr_cbo_13369","513505","Ajudante de pizzaiolo"
"__export__.hr_cbo_13626","519935","Ajudante de polidor de veículos"
"__export__.hr_cbo_15076","721325","Ajudante de polimento"
"__export__.hr_cbo_15131","722235","Ajudante de preparador de lingotamento"
"__export__.hr_cbo_16819","841745","Ajudante de produção - na indústria de bebidas"
"__export__.hr_cbo_16768","841448","Ajudante de produção de óleos vegetais - na ind. Alimentar"
"__export__.hr_cbo_16878","848210","Ajudante de queijeiro"
"__export__.hr_cbo_16557","821450","Ajudante de rebarbação (metais)"
"__export__.hr_cbo_14405","632125","Ajudante de reflorestamento"
"__export__.hr_cbo_15478","732130","Ajudante de reparador (telecomunicações)"
"__export__.hr_cbo_14938","717020","Ajudante de saneamento"
"__export__.hr_cbo_16103","773340","Ajudante de serrador"
"__export__.hr_cbo_15293","724440","Ajudante de serralheiro"
"__export__.hr_cbo_14059","622020","Ajudante de serviço de (aplicação de produtos agroquímicos)"
"__export__.hr_cbo_13368","513505","Ajudante de sushiman"
"__export__.hr_cbo_16795","841745","Ajudante de tratamento de preparo de xarope"
"__export__.hr_cbo_15185","723125","Ajudante de tratamento térmico"
"__export__.hr_cbo_14287","623110","Ajudante de vaqueiro"
"__export__.hr_cbo_16796","841745","Ajudante xaropeiro"
"__export__.hr_cbo_14472","632305","Ajuntador de andiroba"
"__export__.hr_cbo_14483","632320","Ajuntador de buriti"
"__export__.hr_cbo_14507","632355","Ajuntador de ouricuri"
"__export__.hr_cbo_15354","725020","Ajustador de agulhas"
"__export__.hr_cbo_14857","715535","Ajustador de fôrmas (concreto)"
"__export__.hr_cbo_19255","741105","Ajustador de instrumentos de precisão"
"__export__.hr_cbo_17150","911305","Ajustador de máquinas de embalagem"
"__export__.hr_cbo_15362","725010","Ajustador de oficina de cilindros"
"__export__.hr_cbo_16558","821450","Ajustador de rebarbador"
"__export__.hr_cbo_15365","725010","Ajustador de válvulas"
"__export__.hr_cbo_19194","725005","Ajustador ferramenteiro"
"__export__.hr_cbo_15353","725020","Ajustador limador de fresas"
"__export__.hr_cbo_15356","725020","Ajustador limador de tornos"
"__export__.hr_cbo_19195","725010","Ajustador mecânico"
"__export__.hr_cbo_15350","725010","Ajustador mecânico de ferramentas"
"__export__.hr_cbo_15360","725010","Ajustador mecânico de manutenção"
"__export__.hr_cbo_19197","725020","Ajustador mecânico em bancada"
"__export__.hr_cbo_19196","725015","Ajustador mecânico (usinagem em bancada e em máquinas-ferramentas)"
"__export__.hr_cbo_19198","725025","Ajustador naval (reparo e construção)"
"__export__.hr_cbo_11870","263105","Alabê"
"__export__.hr_cbo_19768","841705","Alambiqueiro"
"__export__.hr_cbo_15177","722415","Alambrador - na fabricação de arame"
"__export__.hr_cbo_11871","263105","Alapini"
"__export__.hr_cbo_11872","263105","Alayan"
"__export__.hr_cbo_16423","811405","Alcatroeiro"
"__export__.hr_cbo_10970","225110","Alergista"
"__export__.hr_cbo_10967","225110","Alergista e imunologista"
"__export__.hr_cbo_10969","225110","Alergologista"
"__export__.hr_cbo_13769","612315","Alfaceiro"
"__export__.hr_cbo_19378","763005","Alfaiate"
"__export__.hr_cbo_15766","763005","Alfaite modelista"
"__export__.hr_cbo_10192","141405","Alfarrabista"
"__export__.hr_cbo_10128","141410","Alfarrabista (comércio varejista)"
"__export__.hr_cbo_16888","848310","Alfeloeiro"
"__export__.hr_cbo_10200","141405","Alheiro (comércio atacadista)"
"__export__.hr_cbo_10135","141410","Alheiro (comércio varejista)"
"__export__.hr_cbo_11783","263115","Álim"
"__export__.hr_cbo_16356","784205","Alimentador de esteiras (preparação de alimentos e bebidas)"
"__export__.hr_cbo_19571","784205","Alimentador de linha de produção"
"__export__.hr_cbo_16360","784205","Alimentador de máquina automática"
"__export__.hr_cbo_14375","631325","Alimentador de peixe"
"__export__.hr_cbo_15942","766220","Alimentador de rotativas"
"__export__.hr_cbo_16069","773130","Alimentador de serra de fita"
"__export__.hr_cbo_17222","914405","Alinhador de direção"
"__export__.hr_cbo_19912","992105","Alinhador de pneus"
"__export__.hr_cbo_17223","914405","Alinhador de rodas"
"__export__.hr_cbo_15069","721325","Alisador de metal"
"__export__.hr_cbo_9825","010115","Almirante"
"__export__.hr_cbo_9824","010115","Almirante-de-esquadra"
"__export__.hr_cbo_18583","414105","Almoxarife"
"__export__.hr_cbo_10139","141410","Alugador (comerciante varejista)"
"__export__.hr_cbo_14826","715230","Alvanel"
"__export__.hr_cbo_14827","715230","Alvaner"
"__export__.hr_cbo_12002","311725","Alvejador de couros"
"__export__.hr_cbo_12005","311725","Alvejador de sola"
"__export__.hr_cbo_19347","761405","Alvejador (tecidos)"
"__export__.hr_cbo_15764","762335","Amaciador de couros e peles"
"__export__.hr_cbo_14242","623005","Amansador"
"__export__.hr_cbo_14457","632210","Amapateiro"
"__export__.hr_cbo_16327","784105","Amarrador de embalagens"
"__export__.hr_cbo_16061","772105","Amarrador de madeira"
"__export__.hr_cbo_14468","632365","Amarrador de piaçava"
"__export__.hr_cbo_16660","828110","Amassador - em olaria"
"__export__.hr_cbo_11742","262905","Ambientador"
"__export__.hr_cbo_13693","524305","Ambulante"
"__export__.hr_cbo_14247","623005","Amestrador"
"__export__.hr_cbo_15097","721315","Amolador - na fabricação"
"__export__.hr_cbo_15086","721310","Amolador ambulante"
"__export__.hr_cbo_15080","721305","Amolador de cardas"
"__export__.hr_cbo_15098","721315","Amolador de cilindros"
"__export__.hr_cbo_15087","721310","Amolador de cutelaria"
"__export__.hr_cbo_15088","721310","Amolador de facas"
"__export__.hr_cbo_15099","721315","Amolador de ferramentas"
"__export__.hr_cbo_15081","721305","Amolador de guarnição - na fabricação têxtil"
"__export__.hr_cbo_15066","721320","Amolador de serras"
"__export__.hr_cbo_15064","721315","Amolador de talhadeira"
"__export__.hr_cbo_15089","721310","Amolador de tesouras ( inclusive ambulante)"
"__export__.hr_cbo_18994","711105","Amostrador de minérios"
"__export__.hr_cbo_10502","211205","Amostrista"
"__export__.hr_cbo_14652","711130","Amostrista de minérios"
"__export__.hr_cbo_15536","752115","Ampoleiro"
"__export__.hr_cbo_16622","823245","Ampoleiro (jarras e garrafas térmicas)"
"__export__.hr_cbo_12087","313315","Analisador de tráfego telefônico"
"__export__.hr_cbo_11357","252105","Analista administrativo"
"__export__.hr_cbo_11337","251210","Analista agroindustrial (economista)"
"__export__.hr_cbo_12555","352205","Analista ambiental"
"__export__.hr_cbo_11373","252210","Analista contábil"
"__export__.hr_cbo_11335","251210","Analista de agronegócios (economista)"
"__export__.hr_cbo_10516","212315","Analista de aplicativo básico (software)"
"__export__.hr_cbo_11936","301110","Analista de areias em fundição"
"__export__.hr_cbo_11366","252210","Analista de balanço"
"__export__.hr_cbo_11306","251220","Analista de cadeias produtivas (economista)"
"__export__.hr_cbo_18057","252510","Analista de câmbio"
"__export__.hr_cbo_11426","252405","Analista de cargos e salários"
"__export__.hr_cbo_13173","421310","Analista de cobrança"
"__export__.hr_cbo_18056","252515","Analista de cobrança (instituições financeiras)"
"__export__.hr_cbo_10520","212410","Analista de comunicação (teleprocessamento)"
"__export__.hr_cbo_11379","252210","Analista de contabilidade"
